#: table_doi: 10.17182/hepdata.91996.v2/t18
#: name: Table 18
#: description: Spherocity intervals used in this analysis.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (0-10% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,0-10%
36.5625,36.25,36.875,0.666 - 0.704
37.1875,36.875,37.5,0.668 - 0.706
37.8125,37.5,38.125,0.670 - 0.707
38.4375,38.125,38.75,0.671 - 0.709
39.0625,38.75,39.375,0.673 - 0.710
39.6875,39.375,40.0,0.674 - 0.711
40.3125,40.0,40.625,0.675 - 0.712
40.9375,40.625,41.25,0.677 - 0.713
41.5625,41.25,41.875,0.678 - 0.714
42.1875,41.875,42.5,0.679 - 0.715
42.8125,42.5,43.125,0.680 - 0.716
43.4375,43.125,43.75,0.681 - 0.717
44.0625,43.75,44.375,0.682 - 0.718
44.6875,44.375,45.0,0.683 - 0.719
45.3125,45.0,45.625,0.684 - 0.720
45.9375,45.625,46.25,0.685 - 0.720
46.5625,46.25,46.875,0.686 - 0.721
47.1875,46.875,47.5,0.687 - 0.721
47.8125,47.5,48.125,0.687 - 0.722
48.4375,48.125,48.75,0.688 - 0.722
49.0625,48.75,49.375,0.689 - 0.723
49.6875,49.375,50.0,0.689 - 0.723

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (50-60% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,50-60%
2.1875,1.875,2.5,0.263 - 0.321
2.8125,2.5,3.125,0.295 - 0.354
3.4375,3.125,3.75,0.333 - 0.393
4.0625,3.75,4.375,0.366 - 0.425
4.6875,4.375,5.0,0.398 - 0.456
5.3125,5.0,5.625,0.423 - 0.480
5.9375,5.625,6.25,0.447 - 0.502
6.5625,6.25,6.875,0.466 - 0.519
7.1875,6.875,7.5,0.483 - 0.536
7.8125,7.5,8.125,0.498 - 0.550
8.4375,8.125,8.75,0.512 - 0.564
9.0625,8.75,9.375,0.524 - 0.576
9.6875,9.375,10.0,0.535 - 0.585
10.3125,10.0,10.625,0.545 - 0.594
10.9375,10.625,11.25,0.555 - 0.603
11.5625,11.25,11.875,0.565 - 0.611
12.1875,11.875,12.5,0.572 - 0.618
12.8125,12.5,13.125,0.579 - 0.626
13.4375,13.125,13.75,0.586 - 0.632
14.0625,13.75,14.375,0.593 - 0.639
14.6875,14.375,15.0,0.598 - 0.644
15.3125,15.0,15.625,0.605 - 0.649
15.9375,15.625,16.25,0.610 - 0.654
16.5625,16.25,16.875,0.615 - 0.659
17.1875,16.875,17.5,0.620 - 0.663
17.8125,17.5,18.125,0.625 - 0.668
18.4375,18.125,18.75,0.630 - 0.672
19.0625,18.75,19.375,0.633 - 0.676
19.6875,19.375,20.0,0.637 - 0.679
20.3125,20.0,20.625,0.642 - 0.683
20.9375,20.625,21.25,0.645 - 0.686
21.5625,21.25,21.875,0.649 - 0.691
22.1875,21.875,22.5,0.653 - 0.694
22.8125,22.5,23.125,0.656 - 0.697
23.4375,23.125,23.75,0.659 - 0.699
24.0625,23.75,24.375,0.662 - 0.702
24.6875,24.375,25.0,0.664 - 0.704
25.3125,25.0,25.625,0.668 - 0.706
25.9375,25.625,26.25,0.671 - 0.709
26.5625,26.25,26.875,0.673 - 0.711
27.1875,26.875,27.5,0.675 - 0.713
27.8125,27.5,28.125,0.678 - 0.716
28.4375,28.125,28.75,0.680 - 0.718
29.0625,28.75,29.375,0.682 - 0.720
29.6875,29.375,30.0,0.684 - 0.722
30.3125,30.0,30.625,0.686 - 0.724
30.9375,30.625,31.25,0.688 - 0.726
31.5625,31.25,31.875,0.690 - 0.727
32.1875,31.875,32.5,0.692 - 0.729
32.8125,32.5,33.125,0.694 - 0.731
33.4375,33.125,33.75,0.696 - 0.733
34.0625,33.75,34.375,0.698 - 0.734
34.6875,34.375,35.0,0.700 - 0.736
35.3125,35.0,35.625,0.701 - 0.737
35.9375,35.625,36.25,0.703 - 0.739
36.5625,36.25,36.875,0.704 - 0.740
37.1875,36.875,37.5,0.706 - 0.741
37.8125,37.5,38.125,0.707 - 0.743
38.4375,38.125,38.75,0.709 - 0.744
39.0625,38.75,39.375,0.710 - 0.745
39.6875,39.375,40.0,0.711 - 0.746
40.3125,40.0,40.625,0.712 - 0.747
40.9375,40.625,41.25,0.713 - 0.748
41.5625,41.25,41.875,0.714 - 0.749
42.1875,41.875,42.5,0.715 - 0.750
42.8125,42.5,43.125,0.716 - 0.751
43.4375,43.125,43.75,0.717 - 0.752
44.0625,43.75,44.375,0.718 - 0.752
44.6875,44.375,45.0,0.719 - 0.753
45.3125,45.0,45.625,0.720 - 0.754
45.9375,45.625,46.25,0.720 - 0.754
46.5625,46.25,46.875,0.721 - 0.755
47.1875,46.875,47.5,0.721 - 0.755
47.8125,47.5,48.125,0.722 - 0.755
48.4375,48.125,48.75,0.722 - 0.756
49.0625,48.75,49.375,0.723 - 0.756
49.6875,49.375,50.0,0.723 - 0.756

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (60-70% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,60-70%
2.1875,1.875,2.5,0.321 - 0.387
2.8125,2.5,3.125,0.354 - 0.420
3.4375,3.125,3.75,0.393 - 0.457
4.0625,3.75,4.375,0.425 - 0.488
4.6875,4.375,5.0,0.456 - 0.516
5.3125,5.0,5.625,0.480 - 0.539
5.9375,5.625,6.25,0.502 - 0.560
6.5625,6.25,6.875,0.519 - 0.577
7.1875,6.875,7.5,0.536 - 0.592
7.8125,7.5,8.125,0.550 - 0.604
8.4375,8.125,8.75,0.564 - 0.616
9.0625,8.75,9.375,0.576 - 0.627
9.6875,9.375,10.0,0.585 - 0.636
10.3125,10.0,10.625,0.594 - 0.644
10.9375,10.625,11.25,0.603 - 0.653
11.5625,11.25,11.875,0.611 - 0.660
12.1875,11.875,12.5,0.618 - 0.667
12.8125,12.5,13.125,0.626 - 0.673
13.4375,13.125,13.75,0.632 - 0.679
14.0625,13.75,14.375,0.639 - 0.685
14.6875,14.375,15.0,0.644 - 0.690
15.3125,15.0,15.625,0.649 - 0.696
15.9375,15.625,16.25,0.654 - 0.700
16.5625,16.25,16.875,0.659 - 0.704
17.1875,16.875,17.5,0.663 - 0.707
17.8125,17.5,18.125,0.668 - 0.711
18.4375,18.125,18.75,0.672 - 0.715
19.0625,18.75,19.375,0.676 - 0.718
19.6875,19.375,20.0,0.679 - 0.721
20.3125,20.0,20.625,0.683 - 0.725
20.9375,20.625,21.25,0.686 - 0.728
21.5625,21.25,21.875,0.691 - 0.731
22.1875,21.875,22.5,0.694 - 0.734
22.8125,22.5,23.125,0.697 - 0.736
23.4375,23.125,23.75,0.699 - 0.738
24.0625,23.75,24.375,0.702 - 0.741
24.6875,24.375,25.0,0.704 - 0.743
25.3125,25.0,25.625,0.706 - 0.746
25.9375,25.625,26.25,0.709 - 0.749
26.5625,26.25,26.875,0.711 - 0.750
27.1875,26.875,27.5,0.713 - 0.752
27.8125,27.5,28.125,0.716 - 0.754
28.4375,28.125,28.75,0.718 - 0.756
29.0625,28.75,29.375,0.720 - 0.758
29.6875,29.375,30.0,0.722 - 0.759
30.3125,30.0,30.625,0.724 - 0.761
30.9375,30.625,31.25,0.726 - 0.763
31.5625,31.25,31.875,0.727 - 0.764
32.1875,31.875,32.5,0.729 - 0.766
32.8125,32.5,33.125,0.731 - 0.767
33.4375,33.125,33.75,0.733 - 0.769
34.0625,33.75,34.375,0.734 - 0.770
34.6875,34.375,35.0,0.736 - 0.772
35.3125,35.0,35.625,0.737 - 0.773
35.9375,35.625,36.25,0.739 - 0.774
36.5625,36.25,36.875,0.740 - 0.776
37.1875,36.875,37.5,0.741 - 0.777
37.8125,37.5,38.125,0.743 - 0.778
38.4375,38.125,38.75,0.744 - 0.779
39.0625,38.75,39.375,0.745 - 0.780
39.6875,39.375,40.0,0.746 - 0.781
40.3125,40.0,40.625,0.747 - 0.782
40.9375,40.625,41.25,0.748 - 0.783
41.5625,41.25,41.875,0.749 - 0.784
42.1875,41.875,42.5,0.750 - 0.785
42.8125,42.5,43.125,0.751 - 0.786
43.4375,43.125,43.75,0.752 - 0.787
44.0625,43.75,44.375,0.752 - 0.787
44.6875,44.375,45.0,0.753 - 0.788
45.3125,45.0,45.625,0.754 - 0.789
45.9375,45.625,46.25,0.754 - 0.789
46.5625,46.25,46.875,0.755 - 0.790
47.1875,46.875,47.5,0.755 - 0.791
47.8125,47.5,48.125,0.755 - 0.791
48.4375,48.125,48.75,0.756 - 0.792
49.0625,48.75,49.375,0.756 - 0.792
49.6875,49.375,50.0,0.756 - 0.792

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED (70-80% So)
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,70-80%
2.1875,1.875,2.5,0.387 - 0.463
2.8125,2.5,3.125,0.420 - 0.495
3.4375,3.125,3.75,0.457 - 0.529
4.0625,3.75,4.375,0.488 - 0.558
4.6875,4.375,5.0,0.516 - 0.584
5.3125,5.0,5.625,0.539 - 0.605
5.9375,5.625,6.25,0.560 - 0.623
6.5625,6.25,6.875,0.577 - 0.639
7.1875,6.875,7.5,0.592 - 0.652
7.8125,7.5,8.125,0.604 - 0.663
8.4375,8.125,8.75,0.616 - 0.674
9.0625,8.75,9.375,0.627 - 0.683
9.6875,9.375,10.0,0.636 - 0.692
10.3125,10.0,10.625,0.644 - 0.700
10.9375,10.625,11.25,0.653 - 0.707
11.5625,11.25,11.875,0.660 - 0.713
12.1875,11.875,12.5,0.667 - 0.718
12.8125,12.5,13.125,0.673 - 0.724
13.4375,13.125,13.75,0.679 - 0.729
14.0625,13.75,14.375,0.685 - 0.734
14.6875,14.375,15.0,0.690 - 0.738
15.3125,15.0,15.625,0.696 - 0.743
